Wavelength (nm),Transmission (%),,,,,,
2500,68.98935318,,,,,,
2499,69.39151764,,,,,,
2498,69.41403771,,,,,,
2497,70.18435669,,,,,,
2496,70.66642189,,,,,,
2495,69.94462586,,,,,,
2494,69.86620713,,,,,,
2493,70.32969857,,,,,,
2492,71.38969994,,,,,,
2491,70.57604981,,,,,,
2490,70.0969162,,,,,,
2489,69.83598137,,,,,,
2488,70.65193558,,,,,,
2487,70.99028206,,,,,,
2486,70.70741272,,,,,,
2485,70.86929512,,,,,,
2484,71.39872742,,,,,,
2483,71.38153267,,,,,,
2482,71.34153176,,,,,,
2481,72.00718499,,,,,,
2480,71.37355614,,,,,,
2479,72.12375832,,,,,,
2478,71.57901001,,,,,,
2477,71.58575631,,,,,,
2476,72.55113411,,,,,,
2475,71.86973382,,,,,,
2474,72.80243111,,,,,,
2473,72.18381119,,,,,,
2472,72.73294259,,,,,,
2471,71.97412872,,,,,,
2470,73.6987896,,,,,,
2469,72.86666108,,,,,,
2468,72.75796127,,,,,,
2467,72.84529877,,,,,,
2466,73.90131951,,,,,,
2465,72.61781311,,,,,,
2464,73.26638794,,,,,,
2463,72.64345741,,,,,,
2462,73.9552002,,,,,,
2461,73.07767678,,,,,,
2460,73.07933808,,,,,,
2459,72.9766922,,,,,,
2458,73.43045426,,,,,,
2457,73.5946579,,,,,,
2456,73.38355446,,,,,,
2455,73.53475952,,,,,,
2454,72.58080674,,,,,,
2453,73.40284729,,,,,,
2452,73.41309357,,,,,,
2451,73.465971,,,,,,
2450,74.18697739,,,,,,
2449,74.13653374,,,,,,
2448,74.19279099,,,,,,
2447,73.96864128,,,,,,
2446,74.28265572,,,,,,
2445,73.94744492,,,,,,
2444,73.67206001,,,,,,
2443,74.37683869,,,,,,
2442,73.88073158,,,,,,
2441,74.3140812,,,,,,
2440,74.91629028,,,,,,
2439,74.30779076,,,,,,
2438,74.46862412,,,,,,
2437,75.34532929,,,,,,
2436,75.9329834,,,,,,
2435,74.93682289,,,,,,
2434,75.63186646,,,,,,
2433,75.1830101,,,,,,
2432,75.04920769,,,,,,
2431,75.37453842,,,,,,
2430,75.30057717,,,,,,
2429,75.36971283,,,,,,
2428,75.5375061,,,,,,
2427,75.94596863,,,,,,
2426,75.54038048,,,,,,
2425,75.55417824,,,,,,
2424,76.12952423,,,,,,
