Wavelength (nm),Transmission (%)
2500,70.50899315
2499,70.53755188
2498,71.59085465
2497,71.12173844
2496,69.80575753
2495,71.07403756
2494,71.42739105
2493,71.34007073
2492,72.65330506
2491,71.37155151
2490,70.74205208
2489,71.44633293
2488,71.15397835
2487,72.02266503
2486,71.12282563
2485,71.46401787
2484,72.83583641
2483,71.63328171
2482,72.22339058
2481,71.97822952
2480,72.69142151
2479,73.11715699
2478,72.21729088
2477,72.76382446
2476,72.45434952
2475,73.81578827
2474,72.02344894
2473,72.95786667
2472,72.98857117
2471,73.13230896
2470,73.59761048
2469,73.41949463
2468,73.55147744
2467,73.72554207
2466,73.28224945
2465,72.80521012
2464,73.25593186
2463,73.2442627
2462,73.92329979
2461,73.42484856
2460,72.78911972
2459,73.81959915
2458,73.44203758
2457,73.79613877
2456,74.19908333
2455,74.18249703
2454,73.82182694
2453,73.86470223
2452,73.93853379
2451,73.92443085
2450,75.03428459
2449,73.86160851
2448,74.648983
2447,74.45045662
2446,73.35666275
2445,74.95374108
2444,74.94095421
2443,75.82003785
2442,75.27834702
2441,74.84959984
2440,75.66083908
2439,75.17200089
2438,74.30851936
2437,74.97808647
2436,75.06416893
2435,75.62754059
2434,75.22517586
2433,74.92598534
2432,75.22030449
2431,75.97358322
2430,75.30125809
2429,75.27907753
2428,75.97174072
2427,75.29568482
2426,75.15760804
2425,75.846241
2424,75.99461556
2423,76.1436615
2422,75.72273827
2421,76.41396332
2420,76.14690972
2419,77.16448212
2418,76.71632767
2417,76.42799378
2416,77.19458008
2415,77.05043793
2414,76.76861573
2413,76.23969269
2412,76.39427185
2411,77.10261536
2410,77.29138947
2409,77.0579567
2408,77.31095124
2407,77.12857056
2406,77.44680405
2405,77.44534302
2404,77.00115967
2403,78.20961762
2402,76.82884598
2401,78.31558228
2400,77.9189682
2399,77.84606552
2398,77.55900955
2397,77.87641907
2396,77.91770935
2395,77.58848953
2394,78.4628563
2393,77.91367722
2392,78.07235718
2391,77.7550621
2390,77.95419312
2389,78.32128144
2388,79.09711075
2387,78.8034935
2386,77.77358628
2385,78.68040467
2384,78.379776
2383,79.34899139
2382,78.6762352
2381,78.94198608
2380,78.14359665
2379,78.84599304
2378,78.46281052
2377,79.14827729
2376,79.25799561
2375,78.55439759
2374,78.87130738
2373,79.50398636
2372,78.77311325
2371,79.00698853
2370,78.78684235
2369,79.40033722
2368,78.79483032
2367,79.12681961
2366,78.92338181
2365,79.88420105
2364,79.15616989
2363,79.9597702
2362,79.39043045
2361,79.32891083
2360,79.08538819
2359,79.0462761
2358,79.48963928
2357,79.54969025
2356,79.80397034
2355,80.04478837
2354,79.87289048
2353,79.62853623
2352,80.26348495
2351,79.48145294
2350,79.88317871
2349,79.99191666
2348,80.09007263
2347,79.87260437
2346,80.19586563
2345,80.56132889
2344,79.67842102
2343,79.69443131
2342,80.20239258
2341,80.09742355
2340,80.32374954
2339,79.97814179
2338,80.39592743
2337,80.22920609
2336,80.03821564
2335,80.2665329
2334,80.17114639
2333,80.23949051
2332,80.5064621
2331,80.68391037
2330,80.98065949
2329,80.51575089
2328,80.40561295
2327,80.58940506
2326,79.87380219
2325,80.3315239
2324,80.14622116
2323,80.43303299
2322,80.17289353
2321,80.5163765
2320,80.58066941
2319,80.48590851
2318,80.44196702
2317,80.69286347
2316,79.86429978
2315,80.02995682
2314,80.40677643
2313,80.4301262
2312,80.233181
2311,79.93066025
2310,80.19067765
2309,80.3817749
2308,80.25400925
2307,80.42917252
2306,80.26166153
2305,80.15055085
2304,79.93267441
2303,79.58075714
2302,80.29393387
2301,79.88661957
2300,79.78263474
2299,80.00085068
2298,79.18883515
2297,79.62829208
2296,79.8187027
2295,79.51704788
2294,79.1659584
2293,79.0600853
2292,78.63645172
2291,78.91344452
2290,78.69403839
2289,78.91008377
2288,78.7142601
2287,78.895504
2286,79.12597657
2285,78.32873917
2284,78.30509949
2283,78.86333847
2282,78.43787766
2281,77.75662613
2280,77.83012772
2279,78.00122833
2278,78.31396485
2277,77.79258728
2276,77.19307328
2275,77.33536148
2274,77.15029526
2273,77.62176133
2272,76.66056824
2271,76.66741562
2270,76.63851929
2269,76.34282684
2268,76.03824234
2267,75.91902924
2266,75.91859436
2265,75.80086136
2264,75.70855713
2263,75.68668366
2262,75.07469559
2261,74.98745728
2260,75.09385681
2259,74.76101685
2258,74.59702301
2257,74.10636521
2256,73.98215103
