Wavelength (nm),Transmission (%),,,,,,,,,,
2500,77.92384165,,,,,,,,,,
2499,77.91576829,,,,,,,,,,
2498,77.95097682,,,,,,,,,,
2497,77.96564518,,,,,,,,,,
2496,78.00486043,,,,,,,,,,
2495,78.00393351,,,,,,,,,,
2494,78.03436958,,,,,,,,,,
2493,78.0239214,,,,,,,,,,
2492,78.03650487,,,,,,,,,,
2491,78.00160931,,,,,,,,,,
2490,77.9989509,,,,,,,,,,
2489,78.00134985,,,,,,,,,,
2488,77.96740663,,,,,,,,,,
2487,77.95783534,,,,,,,,,,
2486,77.91469449,,,,,,,,,,
2485,77.88131723,,,,,,,,,,
2484,77.84619724,,,,,,,,,,
2483,77.79787932,,,,,,,,,,
2482,77.75855947,,,,,,,,,,
2481,77.70116149,,,,,,,,,,
2480,77.64077191,,,,,,,,,,
2479,77.60636453,,,,,,,,,,
2478,77.53818956,,,,,,,,,,
2477,77.48174286,,,,,,,,,,
2476,77.40213861,,,,,,,,,,
2475,77.32670477,,,,,,,,,,
2474,77.26753931,,,,,,,,,,
2473,77.19394534,,,,,,,,,,
2472,77.13280545,,,,,,,,,,
2471,77.06585076,,,,,,,,,,
2470,77.00479404,,,,,,,,,,
2469,76.9375596,,,,,,,,,,
2468,76.86248483,,,,,,,,,,
2467,76.79930059,,,,,,,,,,
2466,76.7226655,,,,,,,,,,
2465,76.64734242,,,,,,,,,,
2464,76.55000507,,,,,,,,,,
2463,76.47513272,,,,,,,,,,
2462,76.40603731,,,,,,,,,,
2461,76.33010513,,,,,,,,,,
2460,76.25901296,,,,,,,,,,
2459,76.16939652,,,,,,,,,,
2458,76.09014758,,,,,,,,,,
2457,75.9970815,,,,,,,,,,
2456,75.94069924,,,,,,,,,,
2455,75.86368125,,,,,,,,,,
2454,75.80525862,,,,,,,,,,
2453,75.7211875,,,,,,,,,,
2452,75.64749593,,,,,,,,,,
2451,75.57895047,,,,,,,,,,
2450,75.53593274,,,,,,,,,,
2449,75.45104408,,,,,,,,,,
2448,75.4059515,,,,,,,,,,
2447,75.36719927,,,,,,,,,,
2446,75.30397835,,,,,,,,,,
2445,75.26201872,,,,,,,,,,
2444,75.20506296,,,,,,,,,,
2443,75.17410282,,,,,,,,,,
2442,75.12681089,,,,,,,,,,
2441,75.12426847,,,,,,,,,,
2440,75.0771332,,,,,,,,,,
2439,75.03791468,,,,,,,,,,
2438,75.00836944,,,,,,,,,,
2437,74.99067135,,,,,,,,,,
2436,74.95357533,,,,,,,,,,
2435,74.9421911,,,,,,,,,,
2434,74.91797892,,,,,,,,,,
2433,74.90269643,,,,,,,,,,
2432,74.90450787,,,,,,,,,,
2431,74.89184161,,,,,,,,,,
2430,74.85281703,,,,,,,,,,
2429,74.86480912,,,,,,,,,,
2428,74.87583907,,,,,,,,,,
2427,74.868775,,,,,,,,,,
2426,74.87734544,,,,,,,,,,
2425,74.87848752,,,,,,,,,,
2424,74.9257958,,,,,,,,,,
2423,74.93739076,,,,,,,,,,
2422,74.95366015,,,,,,,,,,
2421,74.96838501,,,,,,,,,,
2420,75.00455194,,,,,,,,,,
2419,75.03149095,,,,,,,,,,
2418,75.0812567,,,,,,,,,,
2417,75.09695476,,,,,,,,,,
2416,75.18283753,,,,,,,,,,
2415,75.18795358,,,,,,,,,,
2414,75.27707933,,,,,,,,,,
2413,75.33269931,,,,,,,,,,
2412,75.38203972,,,,,,,,,,
2411,75.43760031,,,,,,,,,,
2410,75.51466008,,,,,,,,,,
2409,75.55875717,,,,,,,,,,
