Wavelength (nm),Transmission (%)
2600,66.43449
2599,66.42083
2598,66.41064
2597,66.37012
2596,66.27193
2595,66.17944
2594,66.07911
2593,65.98282
2592,65.84548
2591,65.76481
2590,65.65524
2589,65.60069
2588,65.57747
2587,65.48195
2586,65.34619
2585,65.19138
2584,65.07038
2583,64.91499
2582,64.85935
2581,64.76701
2580,64.73840
2579,64.68271
2578,64.63097
2577,64.62277
2576,64.59026
2575,64.59800
2574,64.60517
2573,64.63378
2572,64.67759
2571,64.77384
2570,64.85728
2569,65.03341
2568,65.20691
2567,65.38915
2566,65.60035
2565,65.81040
2564,66.02795
2563,66.28965
2562,66.57496
2561,66.82642
2560,67.06214
2559,67.32784
2558,67.62232
2557,67.91050
2556,68.23605
2555,68.53009
2554,68.85215
2553,69.22650
2552,69.62978
2551,70.06422
2550,70.53543
2549,70.99677
2548,71.45991
2547,71.88583
2546,72.27922
2545,72.67491
2544,73.07135
2543,73.42847
2542,73.76227
2541,74.04877
2540,74.32115
2539,74.55771
2538,74.79804
2537,75.01666
2536,75.23210
2535,75.43487
2534,75.58603
2533,75.68048
2532,75.81576
2531,75.97222
2530,76.04007
2529,76.06755
2528,76.11435
2527,76.12337
2526,76.09289
2525,76.09284
2524,76.08898
2523,76.06179
2522,75.99910
2521,75.88380
2520,75.78196
2519,75.69292
2518,75.58123
2517,75.49972
2516,75.42179
2515,75.31455
2514,75.21481
2513,75.15238
2512,75.09136
2511,75.05183
2510,75.00571
2509,74.96173
2508,74.93947
2507,74.93823
2506,74.95329
2505,75.00433
2504,75.05894
2503,75.13164
2502,75.20030
2501,75.28326
2500,75.40346
2499,75.56212
2498,75.75950
2497,75.94734
2496,76.16541
2495,76.36899
2494,76.57424
2493,76.78982
2492,77.04965
2491,77.32051
2490,77.62462
2489,77.93641
2488,78.25012
2487,78.53727
2486,78.80453
2485,79.11542
2484,79.48564
2483,79.81824
2482,80.13193
2481,80.44436
2480,80.75822
2479,81.05471
2478,81.35511
2477,81.63705
2476,81.92966
2475,82.20287
2474,82.47757
2473,82.71852
2472,82.94217
2471,83.15134
2470,83.36677
2469,83.61189
2468,83.81330
2467,83.93817
2466,84.03527
2465,84.14858
2464,84.26358
2463,84.37010
2462,84.46462
2461,84.51796
2460,84.53871
2459,84.56884
2458,84.61608
2457,84.63572
2456,84.66115
2455,84.65819
2454,84.64458
2453,84.63974
2452,84.62749
2451,84.61336
2450,84.59197
2449,84.58689
2448,84.60313
2447,84.59921
2446,84.56038
2445,84.52886
2444,84.51702
2443,84.51646
2442,84.50872
2441,84.49103
2440,84.46817
2439,84.42978
2438,84.38886
2437,84.36005
2436,84.34912
2435,84.35370
2434,84.35767
2433,84.34331
2432,84.29622
2431,84.26121
2430,84.23416
2429,84.19560
2428,84.14782
2427,84.09878
2426,84.05391
2425,84.01253
2424,83.95343
2423,83.88040
2422,83.81668
2421,83.74020
2420,83.64361
2419,83.56527
2418,83.49774
2417,83.42881
2416,83.37310
2415,83.31027
2414,83.21989
2413,83.13345
2412,83.03940
2411,82.94099
2410,82.87771
2409,82.84651
2408,82.80432
2407,82.77379
2406,82.74965
2405,82.70862
2404,82.69961
2403,82.71445
2402,82.73751
2401,82.77137
2400,82.81583
2399,82.87928
2398,82.94791
2397,83.02607
2396,83.11523
2395,83.21708
2394,83.33797
2393,83.47792
2392,83.61478
2391,83.74819
2390,83.88070
2389,84.02276
2388,84.16732
2387,84.32900
2386,84.49791
2385,84.63790
2384,84.74993
2383,84.83332
2382,84.91278
2381,85.00117
2380,85.06230
2379,85.10258
2378,85.12070
2377,85.10756
2376,85.04640
2375,84.94078
2374,84.82316
2373,84.70197
2372,84.56306
2371,84.37745
2370,84.12990
2369,83.84557
2368,83.53228
2367,83.19262
2366,82.85484
2365,82.49232
2364,82.08684
2363,81.67262
2362,81.25551
2361,80.80247
2360,80.33346
2359,79.85160
2358,79.37335
2357,78.89705
2356,78.41587
2355,77.97497
2354,77.52195
2353,77.07844
2352,76.65787
2351,76.26491
2350,75.89174
2349,75.54644
2348,75.24267
2347,74.99348
2346,74.76540
2345,74.55725
2344,74.38706
2343,74.24444
2342,74.13535
2341,74.06267
2340,74.05325
2339,74.08485
2338,74.15329
2337,74.24160
2336,74.35900
2335,74.49564
2334,74.66710
2333,74.88187
2332,75.15401
2331,75.42409
2330,75.69559
2329,75.98294
2328,76.29546
2327,76.61754
2326,76.93487
2325,77.26422
2324,77.59604
2323,77.92624
2322,78.23139
2321,78.49754
2320,78.74315
2319,78.97541
2318,79.18164
2317,79.33851
2316,79.47423
2315,79.55880
2314,79.58079
2313,79.55116
2312,79.48349
2311,79.36525
2310,79.23183
2309,79.04916
2308,78.80732
2307,78.51072
2306,78.17771
2305,77.79150
2304,77.40737
2303,77.00493
2302,76.57679
2301,76.12719
2300,75.67830
2299,75.24361
2298,74.79391
2297,74.32621
2296,73.90343
2295,73.49401
2294,73.10297
2293,72.69795
2292,72.37822
2291,72.06066
2290,71.78513
2289,71.52050
2288,71.27509
2287,71.06702
2286,70.89382
2285,70.76951
2284,70.67626
2283,70.62264
2282,70.60726
2281,70.61851
2280,70.65550
2279,70.72081
2278,70.81129
2277,70.92615
2276,71.06153
2275,71.22038
2274,71.37912
2273,71.54582
2272,71.73330
2271,71.91246
2270,72.05214
2269,72.19977
2268,72.29028
2267,72.36783
2266,72.43589
2265,72.45818
2264,72.43914
2263,72.36328
2262,72.28428
2261,72.15712
2260,71.98073
2259,71.75618
2258,71.46969
2257,71.14061
2256,70.78386
2255,70.39578
2254,69.97638
2253,69.53983
2252,69.06382
2251,68.56801
